corpus_name,analysis
Treebank_3,yes
PropBank_1.0,yes
NomBank_1.0,yes
OntoNotes_5.0,yes
AMR_1.0,yes
TimeBank_1.2,yes
FactBank_1.0,yes
AQUAINT_TimeML,yes
TempEval_3,yes
ACE_2,yes
ACE_2005,yes
reACE,yes
RED,yes
ECB_1.0,yes
ECB+,yes
TDT4,no
Rich_ERE_train,yes
Light_ERE_train,yes
EventStatus,yes
LU_Corpus,yes
FrameNet_1.7,yes
